,p0q0
2142,0.143
2143,0.13
2144,0.16
2145,0.15
2146,0.158
2147,0.132
2148,0.155
2149,0.171
2150,0.157
2151,0.15
2152,0.147
2153,0.151
2154,0.15
2155,0.154
2156,0.166
2157,0.186
2158,0.18
2159,0.17
2160,0.176
2161,0.171
2162,0.171
2163,0.152
2164,0.176
2165,0.165
2166,0.164
2167,0.168
2168,0.158
2169,0.179
2170,0.16
2171,0.146
2172,0.134
2173,0.162
2174,0.156
2175,0.169
2176,0.146
2177,0.154
2178,0.175
2179,0.156
2180,0.161
2181,0.159
2182,0.159
2183,0.153
2184,0.159
2185,0.16
2186,0.201
2187,0.18
2188,0.169
2189,0.383
2190,0.378
2191,0.396
2192,0.346
2193,0.363
2194,0.355
2195,0.375
2196,0.737
2197,0.335
2198,0.442
2199,0.578
2200,0.378
2201,0.273
2202,0.368
2203,0.425
2204,0.326
2205,0.307
2206,0.349
2207,0.385
2208,0.366
2209,0.398
2210,0.341
2211,0.341
2212,0.409
2213,0.348
2214,0.378
2215,0.319
2216,0.43
2217,0.391
2218,0.458
2219,0.494
2220,0.472
2221,0.428
2222,0.441
2223,0.419
2224,0.434
2225,0.67
2226,0.415
2227,0.544
2228,0.641
2229,0.45
2230,0.37
2231,0.443
2232,0.53
2233,0.413
2234,0.43
2235,0.393
2236,0.449
2237,0.432
2238,0.452
2239,0.407
2240,0.413
2241,0.542
2242,0.41
2243,0.458
2244,0.383
2245,0.535
2246,0.44
2247,0.128
2248,0.115
2249,0.118
2250,0.115
2251,0.121
2252,0.118
2253,0.175
2254,0.115
2255,0.107
2256,0.113
2257,0.112
2258,0.12
2259,0.118
2260,0.116
2261,0.124
2262,0.109
2263,0.115
2264,0.106
2265,0.121
2266,0.118
2267,0.099
2268,0.114
2269,0.117
2270,0.113
2271,0.113
2272,0.111
2273,0.113
2274,0.127
2275,0.129
2276,0.275
2277,0.27
2278,0.395
2279,0.258
2280,0.232
2281,0.222
2282,0.229
2283,0.226
2284,0.388
2285,0.251
2286,0.252
2287,0.261
2288,0.269
2289,0.243
2290,0.231
2291,0.241
2292,0.248
2293,0.217
2294,0.216
2295,0.202
2296,0.236
2297,0.257
2298,0.24
2299,0.422
2300,0.39
2301,0.573
2302,0.368
2303,0.352
2304,0.321
2305,0.335
2306,0.345
2307,0.474
2308,0.353
2309,0.367
2310,0.35
2311,0.369
2312,0.342
2313,0.333
2314,0.296
2315,0.336
2316,0.317
2317,0.299
2318,0.286
2319,0.349
2320,0.347
2321,0.35
2322,0.547
2323,0.494
2324,0.662
2325,0.472
2326,0.453
2327,0.483
2328,0.477
2329,0.44
2330,0.686
2331,0.492
2332,0.522
2333,0.46
2334,0.549
2335,0.479
2336,0.531
2337,0.445
2338,0.497
2339,0.436
2340,0.446
2341,0.498
2342,0.471
2343,0.496
2344,0.482
2345,0.186
2346,0.202
2347,0.193
2348,0.185
2349,0.172
2350,0.175
2351,0.194
2352,0.177
2353,0.294
2354,0.182
2355,0.18
2356,0.174
2357,0.192
2358,0.127
2359,0.173
2360,0.154
2361,0.164
2362,0.161
2363,0.171
2364,0.167
2365,0.166
2366,0.184
2367,0.186
2368,0.152
2369,0.172
2370,0.163
2371,0.153
2372,0.152
2373,0.151
2374,0.171
2375,0.15
2376,0.253
2377,0.134
2378,0.147
2379,0.145
2380,0.162
2381,0.143
2382,0.157
2383,0.126
2384,0.146
2385,0.135
2386,0.144
2387,0.133
2388,0.134
2389,0.157
2390,0.149
2391,0.156
2392,0.176
2393,0.164
2394,0.161
2395,0.162
2396,0.158
2397,0.177
2398,0.155
2399,0.201
2400,0.153
2401,0.154
2402,0.154
2403,0.163
2404,0.147
2405,0.146
2406,0.125
2407,0.149
2408,0.121
2409,0.156
2410,0.147
2411,0.148
2412,0.164
2413,0.157
2414,0.463
2415,0.452
2416,0.59
2417,0.409
2418,0.395
2419,0.412
2420,0.403
2421,0.41
2422,0.562
2423,0.431
2424,0.461
2425,0.393
2426,0.447
2427,0.415
2428,0.449
2429,0.345
2430,0.423
2431,0.386
2432,0.369
2433,0.371
2434,0.376
2435,0.446
2436,0.413
2437,0.568
2438,0.509
2439,0.621
2440,0.478
2441,0.455
2442,0.489
2443,0.466
2444,0.409
2445,0.732
2446,0.526
2447,0.518
2448,0.479
2449,0.569
2450,0.471
2451,0.532
2452,0.427
2453,0.506
2454,0.419
2455,0.47
2456,0.459
2457,0.466
2458,0.511
2459,0.45
2460,0.13
2461,0.131
2462,0.128
2463,0.116
2464,0.129
2465,0.133
2466,0.13
2467,0.137
2468,0.123
2469,0.119
2470,0.122
2471,0.12
2472,0.133
2473,0.128
2474,0.115
2475,0.116
2476,0.127
2477,0.108
2478,0.126
2479,0.127
2480,0.114
2481,0.128
2482,0.126
2483,0.279
2484,0.209
2485,0.28
2486,0.286
2487,0.202
2488,0.208
2489,0.236
2490,0.209
2491,0.275
2492,0.415
2493,0.236
2494,0.291
2495,0.278
2496,0.201
2497,0.257
2498,0.259
2499,0.23
2500,0.223
2501,0.195
2502,0.257
2503,0.199
2504,0.198
2505,0.22
2506,0.248
2507,0.261
2508,0.393
2509,0.288
2510,0.38
2511,0.387
2512,0.247
2513,0.3
2514,0.346
2515,0.319
2516,0.413
2517,0.468
2518,0.364
2519,0.417
2520,0.409
2521,0.271
2522,0.375
2523,0.372
2524,0.328
2525,0.336
2526,0.262
2527,0.361
2528,0.285
2529,0.264
2530,0.296
2531,0.356
2532,0.376
2533,0.498
2534,0.438
2535,0.494
2536,0.513
2537,0.394
2538,0.444
2539,0.459
2540,0.442
2541,0.515
2542,0.642
2543,0.475
2544,0.553
2545,0.539
2546,0.392
2547,0.471
2548,0.516
2549,0.49
2550,0.48
2551,0.364
2552,0.477
2553,0.392
2554,0.399
2555,0.423
2556,0.427
2557,0.55
2558,0.213
2559,0.172
2560,0.209
2561,0.203
2562,0.153
2563,0.192
2564,0.171
2565,0.163
2566,0.194
2567,0.18
2568,0.194
2569,0.201
2570,0.192
2571,0.181
2572,0.181
2573,0.178
2574,0.189
2575,0.173
2576,0.152
2577,0.183
2578,0.164
2579,0.18
2580,0.162
2581,0.184
2582,0.192
2583,0.181
2584,0.121
2585,0.194
2586,0.187
2587,0.129
2588,0.18
2589,0.168
2590,0.15
2591,0.165
2592,0.158
2593,0.169
2594,0.187
2595,0.176
2596,0.152
2597,0.17
2598,0.169
2599,0.179
2600,0.157
2601,0.122
2602,0.154
2603,0.137
2604,0.128
2605,0.148
2606,0.187
2607,0.166
2608,0.185
2609,0.112
2610,0.196
2611,0.163
2612,0.131
2613,0.178
2614,0.181
2615,0.154
2616,0.169
2617,0.168
2618,0.161
2619,0.184
2620,0.169
2621,0.169
2622,0.165
2623,0.159
2624,0.174
2625,0.176
2626,0.147
2627,0.151
2628,0.136
2629,0.125
2630,0.152
2631,0.189
2632,0.166
2633,0.477
2634,0.371
2635,0.392
2636,0.47
2637,0.313
2638,0.367
2639,0.422
2640,0.375
2641,0.474
2642,0.575
2643,0.439
2644,0.494
2645,0.468
2646,0.356
2647,0.429
2648,0.476
2649,0.431
2650,0.411
2651,0.296
2652,0.418
2653,0.349
2654,0.343
2655,0.366
2656,0.417
2657,0.494
2658,0.475
2659,0.521
2660,0.477
2661,0.529
2662,0.384
2663,0.374
2664,0.395
2665,0.413
2666,0.517
2667,0.675
2668,0.457
2669,0.554
2670,0.509
2671,0.423
2672,0.488
2673,0.541
2674,0.501
2675,0.451
2676,0.37
2677,0.498
2678,0.382
2679,0.403
2680,0.422
2681,0.375
2682,0.556
2683,0.133
2684,0.142
2685,0.123
2686,0.125
2687,0.123
2688,0.128
2689,0.13
2690,0.121
2691,0.133
2692,0.124
2693,0.129
2694,0.123
2695,0.131
2696,0.125
2697,0.127
2698,0.108
2699,0.098
2700,0.13
2701,0.109
2702,0.112
2703,0.13
2704,0.116
2705,0.112
2706,0.095
2707,0.135
2708,0.298
2709,0.262
2710,0.285
2711,0.26
2712,0.226
2713,0.256
2714,0.242
2715,0.259
2716,0.262
2717,0.23
2718,0.227
2719,0.285
2720,0.262
2721,0.286
2722,0.259
2723,0.283
2724,0.246
2725,0.267
2726,0.26
2727,0.246
2728,0.266
2729,0.263
2730,0.252
2731,0.241
2732,0.267
2733,0.314
2734,0.291
2735,0.32
2736,0.295
2737,0.27
2738,0.291
2739,0.26
2740,0.305
2741,0.298
2742,0.306
2743,0.26
2744,0.338
2745,0.282
2746,0.335
2747,0.291
2748,0.386
2749,0.295
2750,0.331
2751,0.298
2752,0.289
2753,0.312
2754,0.286
2755,0.282
2756,0.271
2757,0.312
2758,0.309
2759,0.301
2760,0.338
2761,0.307
2762,0.281
2763,0.299
2764,0.322
2765,0.325
2766,0.304
2767,0.385
2768,0.264
2769,0.356
2770,0.297
2771,0.333
2772,0.31
2773,0.413
2774,0.299
2775,0.325
2776,0.296
2777,0.286
2778,0.312
2779,0.311
2780,0.292
2781,0.284
2782,0.338
2783,0.272
2784,0.264
2785,0.309
2786,0.267
2787,0.228
2788,0.276
2789,0.208
2790,0.273
2791,0.281
2792,0.258
2793,0.215
2794,0.319
2795,0.265
2796,0.313
2797,0.272
2798,0.287
2799,0.254
2800,0.263
2801,0.257
2802,0.251
2803,0.277
2804,0.279
2805,0.241
2806,0.244
2807,0.273
2808,0.289
2809,0.242
2810,0.275
2811,0.252
2812,0.223
2813,0.234
2814,0.213
2815,0.233
2816,0.251
2817,0.213
2818,0.217
2819,0.263
2820,0.242
2821,0.252
2822,0.24
2823,0.277
2824,0.23
2825,0.25
2826,0.239
2827,0.223
2828,0.254
2829,0.247
2830,0.233
2831,0.229
2832,0.271
2833,0.213
2834,0.163
2835,0.174
2836,0.185
2837,0.163
2838,0.149
2839,0.147
2840,0.169
2841,0.159
2842,0.151
2843,0.145
2844,0.185
2845,0.166
2846,0.168
2847,0.164
2848,0.194
2849,0.145
2850,0.158
2851,0.161
2852,0.142
2853,0.181
2854,0.172
2855,0.172
2856,0.166
2857,0.176
2858,0.158
2859,0.125
2860,0.123
2861,0.136
2862,0.117
2863,0.1
2864,0.112
2865,0.13
2866,0.115
2867,0.111
2868,0.101
2869,0.131
2870,0.118
2871,0.116
2872,0.114
2873,0.154
2874,0.108
2875,0.107
2876,0.113
2877,0.097
2878,0.129
2879,0.117
2880,0.117
2881,0.117
2882,0.139
2883,0.115
2884,0.118
2885,0.115
2886,0.121
2887,0.116
2888,0.115
2889,0.113
2890,0.115
2891,0.115
2892,0.115
2893,0.113
2894,0.117
2895,0.115
2896,0.119
2897,0.114
2898,0.115
2899,0.115
2900,0.116
2901,0.115
2902,0.116
2903,0.115
2904,0.115
2905,0.117
2906,0.115
2907,0.115
2908,0.299
2909,0.286
2910,0.314
2911,0.288
2912,0.282
2913,0.289
2914,0.302
2915,0.318
2916,0.307
2917,0.39
2918,0.284
2919,0.356
2920,0.279
2921,0.319
2922,0.288
2923,0.396
2924,0.287
2925,0.323
2926,0.287
2927,0.29
2928,0.302
2929,0.286
2930,0.292
2931,0.29
2932,0.36
2933,0.171
2934,0.148
2935,0.143
2936,0.169
2937,0.144
2938,0.134
2939,0.144
2940,0.171
2941,0.142
2942,0.135
2943,0.133
2944,0.172
2945,0.144
2946,0.153
2947,0.149
2948,0.171
2949,0.143
2950,0.145
2951,0.145
2952,0.133
2953,0.172
2954,0.147
2955,0.166
2956,0.152
2957,0.18
2958,0.161
2959,0.132
2960,0.131
2961,0.146
2962,0.125
2963,0.116
2964,0.128
2965,0.141
2966,0.126
2967,0.117
2968,0.116
2969,0.143
2970,0.126
2971,0.126
2972,0.127
2973,0.158
2974,0.123
2975,0.122
2976,0.123
2977,0.114
2978,0.142
2979,0.129
2980,0.128
2981,0.126
2982,0.155
2983,0.197
2984,0.159
2985,0.175
2986,0.164
2987,0.183
2988,0.203
2989,0.201
2990,0.218
2991,0.188
2992,0.184
2993,0.191
2994,0.242
2995,0.179
2996,0.194
2997,0.199
2998,0.131
2999,0.163
3000,0.164
3001,0.203
3002,0.175
3003,0.177
3004,0.177
3005,0.173
3006,0.31
3007,0.228
3008,0.246
3009,0.254
3010,0.254
3011,0.297
3012,0.277
3013,0.277
3014,0.242
3015,0.263
3016,0.282
3017,0.314
3018,0.267
3019,0.27
3020,0.286
3021,0.2
3022,0.257
3023,0.236
3024,0.275
3025,0.359
3026,0.253
3027,0.265
3028,0.266
3029,0.414
3030,0.392
3031,0.281
3032,0.296
3033,0.305
3034,0.35
3035,0.283
3036,0.438
3037,0.317
3038,0.325
3039,0.383
3040,0.423
3041,0.349
3042,0.473
3043,0.37
3044,0.262
3045,0.31
3046,0.28
3047,0.384
3048,0.373
3049,0.337
3050,0.396
3051,0.348
3052,0.18
3053,0.114
3054,0.134
3055,0.099
3056,0.122
3057,0.155
3058,0.131
3059,0.136
3060,0.148
3061,0.122
3062,0.156
3063,0.141
3064,0.129
3065,0.127
3066,0.141
3067,0.088
3068,0.132
3069,0.11
3070,0.144
3071,0.123
3072,0.127
3073,0.15
3074,0.134
3075,0.122
3076,0.1
3077,0.103
3078,0.09
3079,0.095
3080,0.131
3081,0.101
3082,0.104
3083,0.112
3084,0.104
3085,0.103
3086,0.104
3087,0.1
3088,0.103
3089,0.109
3090,0.085
3091,0.096
3092,0.096
3093,0.112
3094,0.103
3095,0.107
3096,0.108
3097,0.111
3098,0.114
3099,0.105
3100,0.118
3101,0.091
3102,0.109
3103,0.148
3104,0.1
3105,0.102
3106,0.118
3107,0.102
3108,0.098
3109,0.119
3110,0.101
3111,0.102
3112,0.116
3113,0.106
3114,0.11
3115,0.096
3116,0.126
3117,0.114
3118,0.11
3119,0.109
3120,0.112
3121,0.357
3122,0.305
3123,0.222
3124,0.274
3125,0.267
3126,0.286
3127,0.247
3128,0.383
3129,0.275
3130,0.271
3131,0.329
3132,0.371
3133,0.3
3134,0.387
3135,0.31
3136,0.219
3137,0.266
3138,0.257
3139,0.311
3140,0.302
3141,0.287
3142,0.323
3143,0.285
3144,0.426
3145,0.386
3146,0.285
3147,0.295
3148,0.33
3149,0.389
3150,0.324
3151,0.419
3152,0.354
3153,0.309
3154,0.4
3155,0.421
3156,0.426
3157,0.456
3158,0.399
3159,0.282
3160,0.342
3161,0.276
3162,0.372
3163,0.438
3164,0.361
3165,0.389
3166,0.372
3167,0.106
3168,0.121
3169,0.112
3170,0.109
3171,0.106
3172,0.108
3173,0.117
3174,0.114
3175,0.114
3176,0.105
3177,0.114
3178,0.114
3179,0.119
3180,0.108
3181,0.112
3182,0.118
3183,0.103
3184,0.112
3185,0.123
3186,0.102
3187,0.122
3188,0.114
3189,0.114
3190,0.122
3191,0.114
3192,0.092
3193,0.089
3194,0.104
3195,0.098
3196,0.109
3197,0.109
3198,0.119
3199,0.116
3200,0.111
3201,0.101
3202,0.099
3203,0.13
3204,0.123
3205,0.122
3206,0.125
3207,0.105
3208,0.12
3209,0.117
3210,0.106
3211,0.099
3212,0.112
3213,0.107
3214,0.103
3215,0.108
3216,0.17
3217,0.149
3218,0.128
3219,0.148
3220,0.127
3221,0.16
3222,0.168
3223,0.18
3224,0.179
3225,0.171
3226,0.153
3227,0.168
3228,0.151
3229,0.2
3230,0.238
3231,0.177
3232,0.185
3233,0.146
3234,0.185
3235,0.175
3236,0.171
3237,0.153
3238,0.176
3239,0.185
3240,0.145
3241,0.156
3242,0.282
3243,0.252
3244,0.174
3245,0.194
3246,0.169
3247,0.227
3248,0.183
3249,0.256
3250,0.215
3251,0.255
3252,0.253
3253,0.211
3254,0.228
3255,0.251
3256,0.271
3257,0.304
3258,0.268
3259,0.222
3260,0.216
3261,0.241
3262,0.264
3263,0.241
3264,0.253
3265,0.248
3266,0.239
3267,0.243
3268,0.086
3269,0.079
3270,0.065
3271,0.077
3272,0.092
3273,0.078
3274,0.083
3275,0.076
3276,0.084
3277,0.086
3278,0.076
3279,0.084
3280,0.073
3281,0.085
3282,0.086
3283,0.087
3284,0.088
3285,0.078
3286,0.078
3287,0.084
3288,0.076
3289,0.075
3290,0.078
3291,0.077
3292,0.072
3293,0.074
3294,0.078
3295,0.068
3296,0.064
3297,0.075
3298,0.085
3299,0.069
3300,0.076
3301,0.067
3302,0.081
3303,0.076
3304,0.073
3305,0.079
3306,0.075
3307,0.083
3308,0.08
3309,0.072
3310,0.078
3311,0.068
3312,0.084
3313,0.064
3314,0.066
3315,0.068
3316,0.069
3317,0.074
3318,0.071
3319,0.075
3320,0.082
3321,0.081
3322,0.083
3323,0.087
3324,0.088
3325,0.084
3326,0.082
3327,0.076
3328,0.085
3329,0.084
3330,0.087
3331,0.092
3332,0.088
3333,0.092
3334,0.086
3335,0.087
3336,0.088
3337,0.085
3338,0.085
3339,0.089
3340,0.078
3341,0.083
3342,0.081
3343,0.087
3344,0.084
3345,0.084
3346,0.232
3347,0.192
3348,0.149
3349,0.166
3350,0.145
3351,0.184
3352,0.165
3353,0.208
3354,0.195
3355,0.203
3356,0.205
3357,0.177
3358,0.187
3359,0.206
3360,0.226
3361,0.256
3362,0.239
3363,0.168
3364,0.182
3365,0.187
3366,0.199
3367,0.168
3368,0.198
3369,0.198
3370,0.182
3371,0.189
3372,0.308
3373,0.257
3374,0.183
3375,0.233
3376,0.168
3377,0.234
3378,0.187
3379,0.29
3380,0.215
3381,0.286
3382,0.276
3383,0.224
3384,0.226
3385,0.302
3386,0.266
3387,0.294
3388,0.304
3389,0.245
3390,0.218
3391,0.243
3392,0.289
3393,0.268
3394,0.299
3395,0.26
3396,0.235
3397,0.284
3398,0.093
3399,0.092
3400,0.116
3401,0.096
3402,0.107
3403,0.09
3404,0.096
3405,0.07
3406,0.096
3407,0.094
3408,0.095
3409,0.093
3410,0.125
3411,0.088
3412,0.104
3413,0.092
3414,0.091
3415,0.103
3416,0.096
3417,0.106
3418,0.117
3419,0.103
3420,0.092
3421,0.104
3422,0.09
3423,0.109
3424,0.065
3425,0.065
3426,0.058
3427,0.058
3428,0.064
3429,0.064
3430,0.06
3431,0.068
3432,0.065
3433,0.063
3434,0.077
3435,0.075
3436,0.059
3437,0.07
3438,0.064
3439,0.064
3440,0.056
3441,0.052
3442,0.057
3443,0.066
3444,0.062
3445,0.064
3446,0.066
3447,0.058
3448,0.204
3449,0.196
3450,0.176
3451,0.194
3452,0.196
3453,0.186
3454,0.175
3455,0.183
3456,0.212
3457,0.178
3458,0.236
3459,0.199
3460,0.175
3461,0.186
3462,0.19
3463,0.19
3464,0.196
3465,0.229
3466,0.172
3467,0.181
3468,0.184
3469,0.177
3470,0.2
3471,0.153
3472,0.227
3473,0.228
3474,0.203
3475,0.222
3476,0.219
3477,0.214
3478,0.203
3479,0.212
3480,0.246
3481,0.212
3482,0.265
3483,0.241
3484,0.22
3485,0.225
3486,0.208
3487,0.223
3488,0.242
3489,0.244
3490,0.208
3491,0.213
3492,0.244
3493,0.224
3494,0.227
3495,0.189
3496,0.201
3497,0.188
3498,0.168
3499,0.162
3500,0.187
3501,0.186
3502,0.162
3503,0.191
3504,0.199
3505,0.183
3506,0.223
3507,0.198
3508,0.158
3509,0.188
3510,0.176
3511,0.192
3512,0.181
3513,0.229
3514,0.162
3515,0.191
3516,0.181
3517,0.189
3518,0.176
3519,0.161
3520,0.19
3521,0.178
3522,0.155
3523,0.156
3524,0.165
3525,0.187
3526,0.161
3527,0.183
3528,0.19
3529,0.173
3530,0.197
3531,0.186
3532,0.153
3533,0.182
3534,0.168
3535,0.186
3536,0.169
3537,0.195
3538,0.153
3539,0.176
3540,0.171
3541,0.175
3542,0.17
3543,0.152
3544,0.08
3545,0.083
3546,0.074
3547,0.076
3548,0.08
3549,0.08
3550,0.077
3551,0.084
3552,0.081
3553,0.078
3554,0.089
3555,0.088
3556,0.076
3557,0.086
3558,0.08
3559,0.08
3560,0.071
3561,0.071
3562,0.076
3563,0.083
3564,0.078
3565,0.08
3566,0.084
3567,0.072
3568,0.168
3569,0.157
3570,0.137
3571,0.138
3572,0.155
3573,0.169
3574,0.134
3575,0.167
3576,0.179
3577,0.158
3578,0.174
3579,0.177
3580,0.136
3581,0.157
3582,0.149
3583,0.161
3584,0.149
3585,0.173
3586,0.136
3587,0.163
3588,0.141
3589,0.158
3590,0.154
3591,0.14
3592,0.214
3593,0.212
3594,0.197
3595,0.203
3596,0.21
3597,0.202
3598,0.191
3599,0.198
3600,0.233
3601,0.194
3602,0.257
3603,0.226
3604,0.205
3605,0.21
3606,0.198
3607,0.205
3608,0.23
3609,0.243
3610,0.195
3611,0.198
3612,0.228
3613,0.209
3614,0.213
3615,0.175
3616,0.099
3617,0.103
3618,0.096
3619,0.096
3620,0.1
3621,0.103
3622,0.099
3623,0.099
3624,0.1
3625,0.102
3626,0.102
3627,0.103
3628,0.102
3629,0.102
3630,0.102
3631,0.1
3632,0.099
3633,0.095
3634,0.091
3635,0.099
3636,0.096
3637,0.102
3638,0.1
3639,0.095
3640,0.13
3641,0.128
3642,0.104
3643,0.11
3644,0.115
3645,0.135
3646,0.111
3647,0.132
3648,0.13
3649,0.126
3650,0.139
3651,0.134
3652,0.103
3653,0.128
3654,0.127
3655,0.129
3656,0.113
3657,0.118
3658,0.109
3659,0.133
3660,0.111
3661,0.124
3662,0.122
3663,0.111
3664,0.091
3665,0.088
3666,0.077
3667,0.082
3668,0.09
3669,0.092
3670,0.087
3671,0.094
3672,0.089
3673,0.092
3674,0.105
3675,0.101
3676,0.081
3677,0.088
3678,0.095
3679,0.098
3680,0.075
3681,0.076
3682,0.077
3683,0.09
3684,0.084
3685,0.089
3686,0.091
3687,0.081
3688,0.104
3689,0.104
3690,0.104
3691,0.104
3692,0.104
3693,0.104
3694,0.104
3695,0.104
3696,0.104
3697,0.104
3698,0.104
3699,0.104
3700,0.104
3701,0.104
3702,0.104
3703,0.104
3704,0.104
3705,0.104
3706,0.104
3707,0.104
3708,0.104
3709,0.104
3710,0.104
3711,0.104
3712,0.1
3713,0.099
3714,0.086
3715,0.089
3716,0.095
3717,0.104
3718,0.089
3719,0.104
3720,0.102
3721,0.096
3722,0.117
3723,0.111
3724,0.087
3725,0.098
3726,0.098
3727,0.101
3728,0.085
3729,0.086
3730,0.084
3731,0.103
3732,0.09
3733,0.094
3734,0.095
3735,0.085
3736,0.077
3737,0.085
3738,0.074
3739,0.086
3740,0.086
3741,0.067
3742,0.069
3743,0.072
3744,0.075
3745,0.072
3746,0.084
3747,0.066
3748,0.067
3749,0.141
3750,0.088
3751,0.068
3752,0.065
3753,0.082
3754,0.079
3755,0.07
3756,0.07
3757,0.065
3758,0.232
3759,0.21
3760,0.198
3761,0.206
3762,0.2
3763,0.189
3764,0.197
3765,0.186
3766,0.22
3767,0.202
3768,0.202
3769,0.199
3770,0.218
3771,0.208
3772,0.22
3773,0.418
3774,0.198
3775,0.203
3776,0.203
3777,0.212
3778,0.457
3779,0.228
3780,0.296
3781,0.28
3782,0.253
3783,0.268
3784,0.269
3785,0.241
3786,0.246
3787,0.249
3788,0.282
3789,0.255
3790,0.255
3791,0.256
3792,0.264
3793,0.238
3794,0.289
3795,0.507
3796,0.234
3797,0.263
3798,0.277
3799,0.251
3800,0.451
3801,0.251
3802,0.172
3803,0.17
3804,0.177
3805,0.185
3806,0.182
3807,0.179
3808,0.182
3809,0.174
3810,0.234
3811,0.184
3812,0.158
3813,0.185
3814,0.196
3815,0.164
3816,0.181
3817,0.164
3818,0.176
3819,0.192
3820,0.178
3821,0.191
3822,0.173
3823,0.202
3824,0.182
3825,0.206
3826,0.177
3827,0.192
3828,0.204
3829,0.18
3830,0.185
3831,0.18
3832,0.25
3833,0.189
3834,0.196
3835,0.192
3836,0.163
3837,0.206
3838,0.198
3839,0.184
3840,0.167
3841,0.189
3842,0.167
3843,0.186
3844,0.185
3845,0.18
3846,0.083
3847,0.09
3848,0.09
3849,0.093
3850,0.091
3851,0.084
3852,0.083
3853,0.087
3854,0.089
3855,0.088
3856,0.093
3857,0.081
3858,0.084
3859,0.132
3860,0.096
3861,0.081
3862,0.08
3863,0.09
3864,0.088
3865,0.087
3866,0.081
3867,0.082
3868,0.169
3869,0.181
3870,0.166
3871,0.177
3872,0.184
3873,0.155
3874,0.173
3875,0.163
3876,0.192
3877,0.163
3878,0.187
3879,0.166
3880,0.158
3881,0.206
3882,0.159
3883,0.151
3884,0.154
3885,0.169
3886,0.146
3887,0.164
3888,0.166
3889,0.151
3890,0.279
3891,0.262
3892,0.236
3893,0.248
3894,0.247
3895,0.226
3896,0.221
3897,0.224
3898,0.257
3899,0.227
3900,0.235
3901,0.246
3902,0.253
3903,0.222
3904,0.246
3905,0.49
3906,0.214
3907,0.238
3908,0.245
3909,0.228
3910,0.491
3911,0.241
3912,0.103
3913,0.103
3914,0.098
3915,0.1
3916,0.106
3917,0.107
3918,0.103
3919,0.101
3920,0.103
3921,0.103
3922,0.1
3923,0.098
3924,0.099
3925,0.18
3926,0.102
3927,0.106
3928,0.104
3929,0.101
3930,0.1
3931,0.103
3932,0.102
3933,0.098
3934,0.131
3935,0.16
3936,0.148
3937,0.157
3938,0.165
3939,0.134
3940,0.141
3941,0.13
3942,0.14
3943,0.134
3944,0.166
3945,0.131
3946,0.124
3947,0.171
3948,0.158
3949,0.123
3950,0.127
3951,0.141
3952,0.128
3953,0.13
3954,0.15
3955,0.135
3956,0.107
3957,0.118
3958,0.114
3959,0.12
3960,0.121
3961,0.102
3962,0.099
3963,0.112
3964,0.111
3965,0.107
3966,0.122
3967,0.108
3968,0.095
3969,0.158
3970,0.122
3971,0.09
3972,0.104
3973,0.118
3974,0.114
3975,0.105
3976,0.11
3977,0.095
3978,0.105
3979,0.102
3980,0.109
3981,0.105
3982,0.105
3983,0.104
3984,0.103
3985,0.107
3986,0.104
3987,0.104
3988,0.109
3989,0.104
3990,0.107
3991,0.105
3992,0.105
3993,0.107
3994,0.081
3995,0.109
3996,0.103
3997,0.105
3998,0.104
3999,0.099
4000,0.115
4001,0.13
4002,0.122
4003,0.128
4004,0.136
4005,0.112
4006,0.112
4007,0.12
4008,0.12
4009,0.117
4010,0.138
4011,0.116
4012,0.104
4013,0.155
4014,0.138
4015,0.094
4016,0.112
4017,0.121
4018,0.12
4019,0.114
4020,0.12
4021,0.104
4022,0.133
4023,0.126
4024,0.123
4025,0.148
4026,0.121
4027,0.126
4028,0.093
4029,0.118
4030,0.128
4031,0.116
4032,0.109
4033,0.135
4034,0.12
4035,0.124
4036,0.102
4037,0.095
4038,0.096
4039,0.125
4040,0.101
4041,0.112
4042,0.091
4043,0.13
4044,0.124
4045,0.328
4046,0.306
4047,0.304
4048,0.288
4049,0.303
4050,0.28
4051,0.243
4052,0.301
4053,0.302
4054,0.283
4055,0.303
4056,0.319
4057,0.291
4058,0.274
4059,0.3
4060,0.262
4061,0.266
4062,0.316
4063,0.268
4064,0.26
4065,0.22
4066,0.302
4067,0.388
4068,0.399
4069,0.348
4070,0.338
4071,0.348
4072,0.332
4073,0.379
4074,0.328
4075,0.379
4076,0.37
4077,0.351
4078,0.343
4079,0.376
4080,0.325
4081,0.285
4082,0.348
4083,0.29
4084,0.316
4085,0.364
4086,0.329
4087,0.337
4088,0.262
4089,0.346
4090,0.48
4091,0.288
4092,0.291
4093,0.262
4094,0.254
4095,0.297
4096,0.279
4097,0.259
4098,0.271
4099,0.272
4100,0.253
4101,0.232
4102,0.298
4103,0.26
4104,0.263
4105,0.251
4106,0.254
4107,0.212
4108,0.293
4109,0.246
4110,0.256
4111,0.21
4112,0.279
4113,0.304
4114,0.335
4115,0.291
4116,0.276
4117,0.28
4118,0.292
4119,0.289
4120,0.284
4121,0.322
4122,0.286
4123,0.245
4124,0.266
4125,0.299
4126,0.263
4127,0.251
4128,0.245
4129,0.246
4130,0.216
4131,0.293
4132,0.24
4133,0.281
4134,0.219
4135,0.323
4136,0.283
4137,0.123
4138,0.12
4139,0.115
4140,0.128
